x
volumetric_scaling_from_t1_head_image_to_standard_space_f25000_2_0
volume_of_peripheral_cortical_grey_matter_normalised_for_head_size_f25001_2_0
volume_of_peripheral_cortical_grey_matter_f25002_2_0
volume_of_ventricular_cerebrospinal_fluid_normalised_for_head_size_f25003_2_0
volume_of_ventricular_cerebrospinal_fluid_f25004_2_0
volume_of_grey_matter_normalised_for_head_size_f25005_2_0
volume_of_grey_matter_f25006_2_0
volume_of_white_matter_normalised_for_head_size_f25007_2_0
volume_of_white_matter_f25008_2_0
volume_of_brain_greywhite_matter_normalised_for_head_size_f25009_2_0
volume_of_brain_greywhite_matter_f25010_2_0
volume_of_thalamus_left_f25011_2_0
volume_of_thalamus_right_f25012_2_0
volume_of_caudate_left_f25013_2_0
volume_of_caudate_right_f25014_2_0
volume_of_putamen_left_f25015_2_0
volume_of_putamen_right_f25016_2_0
volume_of_pallidum_left_f25017_2_0
volume_of_pallidum_right_f25018_2_0
volume_of_hippocampus_left_f25019_2_0
volume_of_hippocampus_right_f25020_2_0
volume_of_amygdala_left_f25021_2_0
volume_of_amygdala_right_f25022_2_0
volume_of_accumbens_left_f25023_2_0
volume_of_accumbens_right_f25024_2_0
volume_of_brain_stem_4th_ventricle_f25025_2_0
median_t2star_in_thalamus_left_f25026_2_0
median_t2star_in_thalamus_right_f25027_2_0
median_t2star_in_caudate_left_f25028_2_0
median_t2star_in_caudate_right_f25029_2_0
median_t2star_in_putamen_left_f25030_2_0
median_t2star_in_putamen_right_f25031_2_0
median_t2star_in_pallidum_left_f25032_2_0
median_t2star_in_pallidum_right_f25033_2_0
median_t2star_in_hippocampus_left_f25034_2_0
median_t2star_in_hippocampus_right_f25035_2_0
median_t2star_in_amygdala_left_f25036_2_0
median_t2star_in_amygdala_right_f25037_2_0
median_t2star_in_accumbens_left_f25038_2_0
median_t2star_in_accumbens_right_f25039_2_0
median_bold_effect_in_groupdefined_mask_for_shapes_activation_f25040_2_0
median_zstatistic_in_groupdefined_mask_for_shapes_activation_f25042_2_0
median_bold_effect_in_groupdefined_mask_for_faces_activation_f25044_2_0
median_zstatistic_in_groupdefined_mask_for_faces_activation_f25046_2_0
median_bold_effect_in_groupdefined_mask_for_facesshapes_contrast_f25048_2_0
median_bold_effect_in_groupdefined_amygdala_activation_mask_for_facesshapes_contrast_f25052_2_0
median_zstatistic_in_groupdefined_amygdala_activation_mask_for_facesshapes_contrast_f25054_2_0
90th_percentile_of_bold_effect_in_groupdefined_mask_for_shapes_activation_f25761_2_0
90th_percentile_of_zstatistic_in_groupdefined_mask_for_shapes_activation_f25762_2_0
90th_percentile_of_bold_effect_in_groupdefined_mask_for_faces_activation_f25763_2_0
90th_percentile_of_zstatistic_in_groupdefined_mask_for_faces_activation_f25764_2_0
90th_percentile_of_bold_effect_in_groupdefined_mask_for_facesshapes_contrast_f25765_2_0
90th_percentile_of_bold_effect_in_groupdefined_amygdala_activation_mask_for_facesshapes_contrast_f25767_2_0
90th_percentile_of_zstatistic_in_groupdefined_amygdala_activation_mask_for_facesshapes_contrast_f25768_2_0
total_volume_of_white_matter_hyperintensities_from_t1_and_t2_flair_images_f25781_2_0
volume_of_grey_matter_in_frontal_pole_left_f25782_2_0
volume_of_grey_matter_in_frontal_pole_right_f25783_2_0
volume_of_grey_matter_in_insular_cortex_left_f25784_2_0
volume_of_grey_matter_in_insular_cortex_right_f25785_2_0
volume_of_grey_matter_in_superior_frontal_gyrus_left_f25786_2_0
volume_of_grey_matter_in_superior_frontal_gyrus_right_f25787_2_0
volume_of_grey_matter_in_middle_frontal_gyrus_left_f25788_2_0
volume_of_grey_matter_in_middle_frontal_gyrus_right_f25789_2_0
volume_of_grey_matter_in_inferior_frontal_gyrus_pars_triangularis_left_f25790_2_0
volume_of_grey_matter_in_inferior_frontal_gyrus_pars_triangularis_right_f25791_2_0
volume_of_grey_matter_in_inferior_frontal_gyrus_pars_opercularis_left_f25792_2_0
volume_of_grey_matter_in_inferior_frontal_gyrus_pars_opercularis_right_f25793_2_0
volume_of_grey_matter_in_precentral_gyrus_left_f25794_2_0
volume_of_grey_matter_in_precentral_gyrus_right_f25795_2_0
volume_of_grey_matter_in_temporal_pole_left_f25796_2_0
volume_of_grey_matter_in_temporal_pole_right_f25797_2_0
volume_of_grey_matter_in_superior_temporal_gyrus_anterior_division_left_f25798_2_0
volume_of_grey_matter_in_superior_temporal_gyrus_anterior_division_right_f25799_2_0
volume_of_grey_matter_in_superior_temporal_gyrus_posterior_division_left_f25800_2_0
volume_of_grey_matter_in_superior_temporal_gyrus_posterior_division_right_f25801_2_0
volume_of_grey_matter_in_middle_temporal_gyrus_anterior_division_left_f25802_2_0
volume_of_grey_matter_in_middle_temporal_gyrus_anterior_division_right_f25803_2_0
volume_of_grey_matter_in_middle_temporal_gyrus_posterior_division_left_f25804_2_0
volume_of_grey_matter_in_middle_temporal_gyrus_posterior_division_right_f25805_2_0
volume_of_grey_matter_in_middle_temporal_gyrus_temporooccipital_part_left_f25806_2_0
volume_of_grey_matter_in_middle_temporal_gyrus_temporooccipital_part_right_f25807_2_0
volume_of_grey_matter_in_inferior_temporal_gyrus_anterior_division_left_f25808_2_0
volume_of_grey_matter_in_inferior_temporal_gyrus_anterior_division_right_f25809_2_0
volume_of_grey_matter_in_inferior_temporal_gyrus_posterior_division_left_f25810_2_0
volume_of_grey_matter_in_inferior_temporal_gyrus_posterior_division_right_f25811_2_0
volume_of_grey_matter_in_inferior_temporal_gyrus_temporooccipital_part_left_f25812_2_0
volume_of_grey_matter_in_inferior_temporal_gyrus_temporooccipital_part_right_f25813_2_0
volume_of_grey_matter_in_postcentral_gyrus_left_f25814_2_0
volume_of_grey_matter_in_postcentral_gyrus_right_f25815_2_0
volume_of_grey_matter_in_superior_parietal_lobule_left_f25816_2_0
volume_of_grey_matter_in_superior_parietal_lobule_right_f25817_2_0
volume_of_grey_matter_in_supramarginal_gyrus_anterior_division_left_f25818_2_0
volume_of_grey_matter_in_supramarginal_gyrus_anterior_division_right_f25819_2_0
volume_of_grey_matter_in_supramarginal_gyrus_posterior_division_left_f25820_2_0
volume_of_grey_matter_in_supramarginal_gyrus_posterior_division_right_f25821_2_0
volume_of_grey_matter_in_angular_gyrus_left_f25822_2_0
volume_of_grey_matter_in_angular_gyrus_right_f25823_2_0
volume_of_grey_matter_in_lateral_occipital_cortex_superior_division_left_f25824_2_0
